X,Y,Z,W,Distance
0.000401852,-0.000178416,-0.00002437,-0.999999903,0.000880716
-0.000280912,-0.000096246,-0.000328116,-0.999999902,0.000885035
0.000530864,0.000377105,-0.000412893,-0.999999703,0.00154198
-0.000002055,0.000857171,0.000210414,-0.99999961,0.00176519
-0.000768291,0.000098718,-0.000432573,-0.999999606,0.00177448
0.000578958,0.00056134,-0.000576631,-0.999999509,0.00198278
-0.000320424,0.000412512,0.000949239,-0.999999413,0.00216712
0.001096789,0.000115042,0.000370726,-0.999999323,0.00232696
0.001150434,0.000072697,0.000212369,-0.999999313,0.00234426
-0.000862664,-0.00081335,0.000397514,-0.999999218,0.00250093
-0.000757701,0.000728873,-0.000678421,-0.999999217,0.00250253
0.000954759,-0.000769448,-0.000293482,-0.999999205,0.00252165
0.000816067,-0.000353089,-0.000994644,-0.99999911,0.00266847
-0.000040603,-0.000576342,0.001203281,-0.999999109,0.00266969
0.001425024,0.000303185,-0.00014007,-0.999998929,0.00292726
0.000599791,-0.000626885,-0.001261077,-0.999998828,0.00306132
-0.000908916,0.000684338,0.001041897,-0.99999881,0.00308539
-0.000918615,-0.000764574,0.001057073,-0.999998727,0.00319103
-0.000908405,0.001245091,-0.000432304,-0.999998719,0.00320145
-0.000223196,0.000707489,0.001419363,-0.999998718,0.00320293
0.000940078,0.000841914,-0.001085227,-0.999998615,0.00332883
0.001324517,-0.000615352,-0.000799981,-0.999998614,0.00333055
0.00049117,-0.00114953,-0.001100463,-0.999998613,0.00333079
-0.001471074,0.000769105,0.000431396,-0.999998529,0.00343026
0.001521972,-0.000591836,-0.000554511,-0.999998513,0.00344909
-0.000552893,0.001369374,0.00097135,-0.999998438,0.00353525
0.000158352,0.001033021,-0.001435236,-0.999998424,0.00355077
0.001395294,-0.00124949,0.000156857,-0.999998234,0.00375908
0.000479511,0.000964923,-0.001545644,-0.999998225,0.0037682
-0.000303966,0.001300013,-0.001389432,-0.999998144,0.00385369
-0.000863096,-0.000201237,-0.001768543,-0.999998043,0.00395649
0.001931705,0.000379973,-0.00019472,-0.999998043,0.00395663
-0.001069353,-0.000486053,-0.001592905,-0.999998041,0.00395834
0.001500051,-0.000622992,0.001213593,-0.999997944,0.00405507
0.00136759,-0.000075907,0.001499948,-0.999997937,0.00406254
0.001480219,-0.000528589,0.001295219,-0.999997926,0.00407343
-0.000442681,-0.000358977,0.001958389,-0.99999792,0.00407918
-0.001195848,-0.001633423,-0.00027002,-0.999997914,0.00408463
-0.001925659,0.000690959,-0.000346464,-0.999997847,0.00415
0.000398771,0.001625443,0.001233805,-0.999997838,0.00415865
-0.000916533,0.000763238,-0.001714826,-0.999997818,0.0041777
-0.001876715,0.000943744,-0.000285288,-0.999997753,0.0042399
-0.002059938,-0.000335605,-0.000429327,-0.99999773,0.00426159
0.001476533,-0.00113399,0.001038667,-0.999997728,0.00426385
0.001954697,-0.00067394,0.000521762,-0.999997726,0.00426483
-0.000003276,-0.001736399,-0.001507733,-0.999997356,0.00459944
0.000388794,0.000771235,-0.002132862,-0.999997352,0.00460232
0.000023041,0.002278965,0.000350523,-0.999997341,0.00461176
0.002220832,-0.000648424,0.000018073,-0.999997324,0.00462726
-0.000752721,-0.002025869,0.000906604,-0.999997254,0.00468721
0.000157957,-0.002284176,-0.000535412,-0.999997235,0.00470285
-0.000383035,0.000071908,0.002320138,-0.999997233,0.00470529
-0.001495127,0.000789385,0.001638059,-0.999997229,0.00470814
0.00102677,0.00080475,-0.001998525,-0.999997152,0.00477329
-0.00221954,0.000569625,0.000679641,-0.999997144,0.00478031
0.001811288,0.001556792,0.000154946,-0.999997136,0.00478681
-0.001018392,-0.00096076,-0.001947757,-0.999997123,0.00479753
0.000680816,0.00030708,-0.002280557,-0.999997121,0.00479941
0.002399633,-0.000000135,0.000376076,-0.99999705,0.00485785
0.001597958,0.001304923,0.001286228,-0.999997045,0.00486245
0.000707063,-0.002008503,-0.001174608,-0.999997043,0.00486368
-0.000442593,0.002368558,-0.000517556,-0.999996963,0.00492901
0.00200315,-0.001072976,-0.000969975,-0.999996948,0.00494152
0.000602342,-0.000115383,-0.002432308,-0.999996854,0.00501695
-0.000564094,0.000800228,-0.00231184,-0.999996848,0.00502104
-0.001897407,-0.001568115,0.000498605,-0.999996846,0.00502306
-0.00105852,-0.000049533,-0.002277334,-0.999996845,0.00502374
-0.002312839,0.000672238,-0.000723379,-0.999996838,0.00502969
-0.000200994,-0.001069237,-0.002273956,-0.999996823,0.00504174
-0.001771731,0.00106916,0.001481672,-0.999996761,0.00509026
0.000218904,0.002061493,-0.001489376,-0.999996742,0.00510519
0.001893484,-0.001083873,0.001332572,-0.999996732,0.00511299
0.001274155,0.002211669,0.000173381,-0.999996727,0.00511665
-0.002236214,-0.001229021,0.000433598,-0.99999665,0.00517657
-0.001052648,0.002027437,-0.001223423,-0.999996642,0.00518284
0.00149013,0.001606262,-0.00139802,-0.999996622,0.00519794
0.001587605,0.000744044,0.001948786,-0.999996564,0.00524285
-0.00116881,0.002340658,0.000204395,-0.999996557,0.00524847
0.002039543,0.001535975,0.000616062,-0.999996551,0.00525305
0.001839973,0.001619044,0.000946129,-0.999996549,0.00525435
-0.002181762,-0.001477576,0.000049021,-0.999996527,0.00527095
-0.002490233,0.000701612,0.000605722,-0.99999647,0.00531427
0.000384648,0.001264059,-0.002309706,-0.99999646,0.00532187
